source_pubkey,source_alias,target_pubkey,target_alias,capacity_sats,fee_base_msat,fee_rate_ppm,max_htlc_sats,cltv_delta,disabled,source_last_update,target_last_update,source_channels,target_channels,source_total_cap,target_total_cap
024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,0321110aad4150f29f12dc8a0a7473fe19ba7a55bb056624d5c069ef9e2098306e,lnd,299834,1000,1,296836,80,1,1780164254,1777646387,25,1,263426937,299834
03e6b5ecd05aee945dc77d2016b39a02d80e65191d475a616b7e11caeb6d2d737c,aranguren.org,03fc9f5d39d4ea4ea2c34a5c60f3b178e8665ee5bba7e542c9bd06ca9f3d13067b,21M-testnet4,2500000,1000,1,2475000,80,1,1780151970,1773322189,2,2,4986654,4500000
02332d8426ce3f33d2c936d73dcd9946965d62b6d9f74ae8941f921e575a5df4aa,cosmos_ln,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,500000,1000,1,495000,80,1,1773872151,1780164254,1,25,500000,263426937
022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,024c6e1edd12f0792d0c1ddda3abc6e2fde6bf89f2848e00cf8d6a58fabb6c3ab6,testnet4.atomiq.exchange,200000,1000,200,10000,144,1,1776418584,1780164254,3,25,5400000,263426937
022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,200000,1000,200,90000,144,1,1776418584,1780089371,3,11,5400000,33174232
020d84fb6ad938545c15633b38db9e3d6dc34205295359611ae817fa0c417066f7,Lightning-Pay-Testnet,022b2053758559dbfd4dee6b89067cd17d37ec7e26edb2f7b58baac501add4b72b,sweet,5000000,1000,1000,2250000,144,1,1780159483,1776418584,8,3,75000000,5400000
02f0bf82f730d2e68453cc612c3e7ca5e021eaa1ead8250a6380c551d1d43bdc1b,Kazumyon testnet4,03945df15a1b5a682d8b9e23d8d0d9b6690037592a2807ba22ff031b07fd15829e,03945df15a1b5a682d8b,20000,1,500,19800,80,1,1780089371,1775834558,11,1,33174232,20000
02528abd8d9753089ec4bffd235409c42fa22a03745097f130c5147f5082c27a12,HappyBed,02fde09add005b4e7f3f84c1e53893951caab1073ea6b825a2266a4d81d0538c3b,testnet4.coinbin.org,100000,1000,1,99000,80,0,1780124062,1780150496,1,11,100000,724400126
030e1b7b312d0d1478d3477acfeb857081953c73ae8fbfea1225605a98db12967c,lnd.testnet4.lnmarkets.com,0391a0f5677df1cfab216c04ae2d1a56812c0b5e750647390f2330a18c9d11a756,btcol-testnet4,1000000,1000,1,990000,80,0,1780169216,1780089783,4,6,243000042,8200000
03075670fcd2890432bcb0faed67a17d55ecd576631d1933147a4744059aac2683,03075670fcd2890432bc,030f289f0f931cd33cc3435dc5f5fc2a6a65bb0297327d43e82562aded10df74a7,2FakTorLNtest4🧪🧬,2000000,1000,1,1980000,80,1,1779969347,1780169216,1,10,2000000,25900000
